stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20250715,63700,1200,2,-4256600,3644735,-417809,-269686,230360,-25726,2626367,7967014,6683716,165511,503355,422372,6882967,4322279,7101525,435197,272995,448099
20250714,62500,-100,5,-198187,-691146,-149948,-12623,-42573,-9443,2780499,4367030,5337062,172762,272155,331821,2978686,5058176,5487010,185386,314728,341264
20250711,62600,1600,2,-5992528,4931682,66601,-374091,307775,4231,3848174,8589042,5583260,239719,535822,347960,9840702,3657360,5516659,613810,228047,343729
20250710,61000,600,2,118237,642576,-1749115,6874,39481,-106540,3239924,4664839,5812880,196973,284138,353987,3121687,4022263,7561995,190099,244657,460527
20250709,60400,-1000,5,4315164,-3338833,-2068875,261683,-202304,-125654,8161611,3611253,4592965,494689,218941,278380,3846447,6950086,6661840,233006,421245,404034
20250708,61400,-300,5,2994943,-1921467,-873548,183574,-117907,-53417,7540568,5004949,7300101,463632,307886,448917,4545625,6926416,8173649,280058,425793,502334
20250707,61700,-1600,5,3970419,-2815516,-1020720,246886,-175645,-62868,7221712,3174137,6717424,449561,197475,418779,3251293,5989653,7738144,202675,373120,481648
20250704,63300,-500,5,758725,-187493,-817885,48413,-11739,-52374,7070467,8842033,7479422,449734,562541,474825,6311742,9029526,8297307,401320,574280,527199
20250703,63800,3000,2,-13548764,9016629,4101822,-847294,563955,256354,6570018,13070221,11552552,411803,818140,723380,20118782,4053592,7450730,1259097,254185,467026
20250702,60800,600,2,-524578,-361861,925078,-32454,-21102,55918,3494293,5508343,5973565,210619,333368,360715,4018871,5870204,5048487,243073,354469,304797
20250701,60200,400,2,-1257685,134384,1118746,-76882,8380,68223,3403898,3793083,6407548,206161,229719,388768,4661583,3658699,5288802,283043,221339,320545
20250630,59800,-1000,5,4434023,-5280658,810571,266685,-317876,49015,6617828,3711105,6680009,398439,223136,403096,2183805,8991763,5869438,131754,541012,354081
20250627,60800,600,2,-2746410,613336,2059747,-167841,37664,125716,4408061,5454930,7363502,267841,331470,447698,7154471,4841594,5303755,435682,293806,321982
20250626,60200,-1100,5,2994600,-1670898,-1343036,180959,-100832,-81358,6507671,5274877,7453176,393174,318684,449864,3513071,6945775,8796212,212215,419517,531222
20250625,61300,800,2,-1232486,1965255,-807968,-75916,120160,-48786,6160383,9734101,7886934,374593,593514,480007,7392869,7768846,8694902,450509,473354,528793
20250624,60500,2500,2,-7304208,5431405,1857835,-439695,327220,111582,4374473,9986205,9248446,262806,601141,556051,11678681,4554800,7390611,702501,273922,444469
20250623,58000,-1500,5,5524570,-1341375,-4239589,320202,-77738,-245739,8576142,2937308,4830104,497291,170511,280185,3051572,4278683,9069693,177090,248250,525924
20250620,59500,300,2,783945,-837776,51082,46424,-49695,3105,3443392,8811007,5712587,204544,524011,339556,2659447,9648783,5661505,158120,573706,336451
20250619,59200,-600,5,1619343,-438270,-1143259,96033,-25750,-68035,4880312,5658266,6304267,290277,336739,374452,3260969,6096536,7447526,194244,362489,442487
20250618,59800,1700,2,-4524025,3837978,737667,-269017,228077,44003,3015083,7511542,7066414,177790,445380,417934,7539108,3673564,6328747,446807,217302,373931
20250617,58100,900,2,-2811650,1788532,993603,-168043,107061,59159,7497134,11017047,9907415,438902,646196,582181,10308784,9228515,8913812,606945,539136,523021
20250616,57200,-1100,5,6163630,-6936197,716799,352467,-396865,41217,8627236,4960825,8518955,493645,284043,487579,2463606,11897022,7802156,141178,680908,446362
20250613,58300,-1200,5,3650750,4939,-3621831,213376,767,-212188,7860536,4663542,8084034,459449,273704,471987,4209786,4658603,11705865,246073,272937,684175
20250612,59500,-400,5,907528,326870,-1169471,54067,19404,-69603,3231776,5900182,8596576,192552,351429,512074,2324248,5573312,9766047,138485,332025,581677
20250611,59900,700,2,-2474334,2231164,407231,-148213,133536,24500,2503143,5127289,5924555,149567,306616,354103,4977477,2896125,5517324,297780,173081,329603
20250610,59200,-600,5,1207691,-922353,-294787,71865,-54533,-17931,4172240,4399282,6636646,247366,260651,392756,2964549,5321635,6931433,175501,315184,410687
20250609,59800,700,2,-2644859,5139695,-2161043,-159736,309135,-129337,3801760,8806238,6909888,227928,529210,414900,6446619,3666543,9070931,387664,220075,544237
20250605,59100,1300,2,-7004765,4766305,2319804,-414295,281318,137803,4192641,8595010,10395810,247443,507130,614809,11197406,3828705,8076006,661738,225812,477007
20250604,57800,1000,2,-3051217,2066760,1167290,-176291,119775,67065,2598782,9669186,7352318,149061,556683,422904,5649999,7602426,6185028,325352,436908,355839
20250602,56800,600,2,-237061,862608,-600990,-13746,49111,-33975,2113843,5665861,5029727,119892,321526,285430,2350904,4803253,5630717,133638,272415,319404
